service_id,date,exception_type
10240,20121202,2
10240,20121118,2
10237,20121126,1
10237,20121127,1
10237,20121128,1
10237,20121129,1
10237,20121130,1
10237,20121102,1
10237,20121207,1
10236,20130107,1
10236,20130108,1
10236,20130109,1
10236,20130110,1
10236,20130111,1
10236,20130112,1
10236,20130128,1
10236,20130129,1
10236,20130130,1
10236,20130131,1
10236,20130201,1
10236,20130202,1
10236,20130204,1
10236,20130205,1
10236,20130206,1
10236,20130207,1
10236,20130208,1
10250,20121130,1
10250,20121112,1
10250,20121102,1
10250,20121210,1
10250,20121211,1
10250,20121212,1
10250,20121213,1
10250,20121214,1
10250,20121124,2
10251,20130114,2
10251,20130115,2
10251,20130116,2
10251,20130117,2
10251,20130118,2
10251,20130121,2
10251,20130122,2
10251,20130123,2
10251,20130124,2
10251,20130125,2
10248,20121126,1
10248,20121127,1
10248,20121128,1
10248,20121129,1
10248,20121130,1
10248,20121109,1
10248,20121102,1
10248,20121207,1
10249,20130107,1
10249,20130108,1
10249,20130109,1
10249,20130110,1
10249,20130111,1
10249,20130112,1
10249,20130128,1
10249,20130129,1
10249,20130130,1
10249,20130131,1
10249,20130201,1
10249,20130202,1
10249,20130204,1
10249,20130205,1
10249,20130206,1
10249,20130207,1
10249,20130208,1
10479,20121225,1
10479,20130101,1
10479,20121101,1
10479,20121104,2
10462,20121101,1
10462,20121103,2
10462,20121104,2
10524,20130108,2
10524,20130109,2
10524,20130110,2
10524,20130111,2
10524,20130115,2
10524,20130116,2
10524,20130117,2
10524,20130118,2
10508,20121127,1
10508,20121128,1
10508,20121129,1
10508,20121130,1
10508,20121204,1
10508,20121205,1
10508,20121206,1
10508,20121207,1
10508,20121101,2
10509,20130122,1
10509,20130123,1
10509,20130124,1
10509,20130125,1
10509,20130129,1
10509,20130130,1
10509,20130131,1
10509,20130201,1
10509,20130205,1
10509,20130206,1
10509,20130207,1
10509,20130208,1
10525,20121101,2
10528,20121127,1
10528,20121202,1
10528,20121106,1
10528,20121030,1
10528,20121203,1
10528,20121204,1
10527,20121126,1
10527,20121128,1
10527,20121129,1
10527,20121130,1
10527,20121201,1
10527,20121202,1
10527,20121203,1
10527,20121205,1
10527,20121206,1
10527,20121207,1
10527,20121208,1
10527,20121201,2
10526,20130109,2
10526,20130110,2
10526,20130111,2
10526,20130112,2
10526,20130116,2
10526,20130117,2
10526,20130118,2
10526,20130119,2
10530,20121101,1
10530,20121203,1
10529,20121126,1
10529,20121127,1
10529,20121128,1
10529,20121129,1
10529,20121130,1
10529,20121201,1
10529,20121202,1
10529,20121203,1
10529,20121204,1
10529,20121205,1
10529,20121206,1
10529,20121207,1
10529,20121208,1
10523,20130108,2
10523,20130115,2
10520,20130107,2
10520,20130114,2
10522,20121127,1
10522,20121204,1
10519,20121126,1
10519,20121203,1
10513,20121226,1
10513,20130102,1
10517,20130121,1
10517,20130122,1
10517,20130123,1
10517,20130124,1
10517,20130125,1
10517,20130128,1
10517,20130129,1
10517,20130130,1
10517,20130131,1
10517,20130201,1
10517,20130204,1
10517,20130205,1
10517,20130206,1
10517,20130207,1
10517,20130208,1
10511,20130123,1
10511,20130124,1
10511,20130125,1
10511,20130126,1
10511,20130130,1
10511,20130131,1
10511,20130201,1
10511,20130202,1
10511,20130206,1
10511,20130207,1
10511,20130208,1
10512,20121102,1
10514,20121128,1
10514,20121129,1
10514,20121130,1
10514,20121201,1
10514,20121205,1
10514,20121206,1
10514,20121207,1
10514,20121208,1
10514,20121102,2
10516,20130122,1
10516,20130123,1
10516,20130124,1
10516,20130125,1
10516,20130126,1
10516,20130129,1
10516,20130130,1
10516,20130131,1
10516,20130201,1
10516,20130202,1
10516,20130205,1
10516,20130206,1
10516,20130207,1
10516,20130208,1
10515,20121127,1
10515,20121128,1
10515,20121129,1
10515,20121130,1
10515,20121201,1
10515,20121204,1
10515,20121205,1
10515,20121206,1
10515,20121207,1
10515,20121208,1
10515,20121102,2
10510,20121128,1
10510,20121129,1
10510,20121130,1
10510,20121201,1
10510,20121202,1
10510,20121107,1
10510,20121108,1
10510,20121109,1
10510,20121110,1
10510,20121031,1
10510,20121101,1
10510,20121103,1
10510,20121203,1
10510,20121205,1
10510,20121206,1
10510,20121207,1
10510,20121208,1
10469,20121126,2
10469,20121127,2
10469,20121128,2
10469,20121129,2
10469,20121130,2
10469,20121118,2
10469,20121119,2
10469,20121120,2
10469,20121121,2
10469,20121122,2
10469,20121123,2
10469,20121125,2
10469,20121203,2
10469,20121204,2
10469,20121207,2
10470,20121126,2
10470,20121127,2
10470,20121128,2
10470,20121129,2
10470,20121130,2
10470,20121203,2
10470,20121204,2
10470,20121205,2
10470,20121206,2
10476,20121130,2
10475,20121126,2
10475,20121127,2
10475,20121128,2
10475,20121129,2
10475,20121130,2
10475,20121203,2
10475,20121204,2
10475,20121205,2
10473,20121126,2
10473,20121127,2
10473,20121128,2
10473,20121129,2
10473,20121130,2
10473,20121118,2
10473,20121119,2
10473,20121120,2
10473,20121121,2
10473,20121122,2
10473,20121123,2
10473,20121125,2
10473,20121203,2
10473,20121204,2
10473,20121205,2
10473,20121206,2
10466,20121126,2
10466,20121127,2
10466,20121128,2
10466,20121129,2
10466,20121203,2
10466,20121204,2
10466,20121205,2
10466,20121206,2
10466,20121207,2
10454,20121126,2
10454,20121127,2
10454,20121128,2
10454,20121129,2
10454,20121130,2
10454,20121118,2
10454,20121119,2
10454,20121120,2
10454,20121121,2
10454,20121122,2
10454,20121123,2
10454,20121125,2
10454,20121102,2
10454,20121203,2
10454,20121204,2
10454,20121205,2
10454,20121206,2
10477,20121112,1
10477,20121029,1
10477,20121203,1
10477,20121030,2
10477,20121031,2
10477,20121101,2
10484,20121231,2
10484,20130101,2
10484,20121101,2
10484,20121224,2
10484,20121225,2
10484,20121226,2
10484,20121227,2
10484,20121228,2
10213,20121126,1
10213,20121127,1
10213,20121128,1
10213,20121129,1
10213,20121203,1
10213,20121204,1
10213,20121205,1
10213,20121206,1
10213,20121118,2
10213,20121104,2
10213,20121207,2
10209,20121119,2
10209,20121120,2
10209,20121121,2
10209,20121122,2
10209,20121112,2
10209,20121113,2
10209,20121114,2
10209,20121115,2
10209,20121118,2
10209,20121207,2
10214,20121105,2
10214,20121106,2
10214,20121107,2
10214,20121108,2
10214,20121119,2
10214,20121120,2
10214,20121121,2
10214,20121122,2
10214,20121123,2
10214,20121112,2
10214,20121113,2
10214,20121114,2
10214,20121115,2
10214,20121118,2
10214,20121104,2
10214,20121207,2
10219,20121126,1
10219,20121127,1
10219,20121128,1
10219,20121129,1
10219,20121203,1
10219,20121204,1
10219,20121205,1
10219,20121206,1
10219,20121116,2
10219,20121118,2
10219,20121104,2
10219,20121207,2
10220,20121126,1
10220,20121127,1
10220,20121128,1
10220,20121129,1
10220,20121203,1
10220,20121204,1
10220,20121205,1
10220,20121206,1
10220,20121116,2
10220,20121118,2
10220,20121104,2
10220,20121207,2
10216,20121105,2
10216,20121106,2
10216,20121107,2
10216,20121108,2
10216,20121104,2
10216,20121207,2
10218,20121225,2
10218,20130101,2
10218,20130204,2
10218,20130205,2
10218,20130206,2
10218,20130207,2
10217,20121101,2
10217,20121207,2
10221,20121207,2
10222,20121105,2
10222,20121106,2
10222,20121107,2
10222,20121108,2
10222,20121119,2
10222,20121120,2
10222,20121121,2
10222,20121122,2
10222,20121123,2
10222,20121112,2
10222,20121113,2
10222,20121114,2
10222,20121115,2
10222,20121116,2
10222,20121118,2
10222,20121104,2
10210,20121207,2
10354,20130107,1
10354,20130108,1
10354,20130109,1
10354,20130110,1
10354,20130111,1
10354,20130112,1
10354,20130128,1
10354,20130129,1
10354,20130130,1
10354,20130131,1
10354,20130201,1
10354,20130202,1
10354,20130204,1
10354,20130205,1
10354,20130206,1
10354,20130207,1
10354,20130208,1
10365,20121125,2
10366,20121125,1
10373,20121116,1
10373,20121118,1
10375,20121109,1
10200,20121101,2
10367,20121110,1
10367,20121111,1
10367,20121117,1
10367,20121101,1
10367,20121103,1
10367,20121208,1
10367,20121109,2
10367,20121116,2
10367,20121207,2
10187,20121101,1
10368,20121123,1
10368,20121101,1
10368,20121102,1
10368,20121118,2
10368,20121124,2
10368,20121125,2
10368,20121104,2
10369,20130101,2
10369,20121224,2
10369,20121225,2
10374,20121123,1
10327,20130121,1
10327,20130122,1
10327,20130123,1
10327,20130124,1
10327,20130125,1
10327,20130126,1
10327,20130127,1
10327,20130121,2
10327,20130122,2
10327,20130123,2
10327,20130124,2
10325,20130203,2
10325,20130204,2
10325,20130205,2
10325,20130206,2
10325,20130207,2
10326,20121126,1
10326,20121127,1
10326,20121128,1
10326,20121129,1
10326,20121101,1
10326,20121203,1
10326,20121204,1
10326,20121205,1
10326,20121206,1
10326,20121116,2
10326,20121118,2
10326,20121104,2
10320,20130107,1
10320,20130108,1
10320,20130109,1
10320,20130110,1
10320,20130111,1
10320,20130112,1
10320,20130128,1
10320,20130129,1
10320,20130130,1
10320,20130131,1
10320,20130201,1
10320,20130202,1
10320,20130204,1
10320,20130205,1
10320,20130206,1
10320,20130207,1
10320,20130208,1
10318,20121101,2
10318,20121126,2
10318,20121127,2
10318,20121128,2
10318,20121129,2
10321,20121130,2
10323,20121111,1
10324,20121105,1
10324,20121106,1
10324,20121107,1
10324,20121108,1
10324,20121029,1
10324,20121030,1
10324,20121031,1
10443,20121126,2
10444,20121125,2
10446,20121126,2
10446,20121127,2
10446,20121128,2
10446,20121129,2
10446,20121203,2
10446,20121204,2
10446,20121205,2
10446,20121206,2
10566,20121108,1
10566,20121109,1
10565,20121107,1
10565,20121108,1
10567,20121104,1
10569,20121104,1
10551,20121109,1
10551,20121126,1
10551,20121127,1
10551,20121128,1
10551,20121129,1
10551,20121130,1
10551,20121031,1
10551,20121101,1
10551,20121102,1
10551,20121203,1
10551,20121204,1
10551,20121205,1
10551,20121206,1
10551,20121207,1
10551,20121201,2
10551,20121202,2
10551,20121104,2
10206,20121110,1
10206,20121111,1
10206,20121117,1
10206,20121101,1
10206,20121103,1
10206,20121208,1
10206,20121109,2
10206,20121116,2
10206,20121207,2
10207,20121029,1
10207,20121030,1
10207,20121031,1
10207,20121101,1
10207,20121103,1
10207,20121104,1
10207,20121112,1
10207,20121113,1
10207,20121114,1
10207,20121115,1
10207,20121117,1
10207,20121118,1
10207,20121110,1
10207,20121111,1
10207,20121208,1
10207,20121116,2
10207,20121109,2
10207,20121207,2
10195,20121126,1
10195,20121127,1
10195,20121128,1
10195,20121129,1
10195,20121101,1
10195,20121203,1
10195,20121204,1
10195,20121205,1
10195,20121206,1
10195,20121118,2
10195,20121201,2
10195,20121202,2
10195,20121124,2
10195,20121125,2
10195,20121104,2
