service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10212,1,1,1,1,1,1,1,20121029,20121208
10214,1,1,1,1,1,1,1,20121103,20121208
10219,0,0,0,0,1,1,1,20121103,20121208
10220,0,0,0,0,1,1,1,20121103,20121208
10216,1,1,1,1,1,1,1,20121103,20121208
10218,1,1,1,1,1,1,0,20121210,20130208
10217,1,1,1,1,1,1,0,20121029,20121208
10221,1,1,1,1,1,1,1,20121029,20121208
10222,1,1,1,1,1,1,1,20121103,20121207
10210,1,1,1,1,1,1,1,20121029,20121208
10360,1,1,1,1,0,0,0,20121112,20121122
10359,1,1,1,1,0,0,1,20121112,20121118
10365,0,0,0,0,0,1,1,20121124,20121202
10366,1,1,1,1,0,0,0,20121129,20121129
10361,0,0,0,0,0,1,0,20121124,20121201
10362,1,0,0,0,0,0,0,20121224,20121224
10373,1,1,1,1,0,0,0,20121116,20121122
10375,0,0,0,0,1,0,0,20121016,20130208
10351,1,1,1,1,0,0,0,20121105,20121111
10196,0,0,0,0,0,1,0,20121103,20121118
10191,1,1,1,1,1,1,1,20121029,20121118
10200,1,1,1,1,1,1,0,20121029,20121118
10367,0,0,0,0,1,0,0,20121101,20121208
10187,0,0,0,0,0,1,1,20121101,20121118
10368,0,0,0,0,0,1,1,20121101,20121125
10370,1,1,1,1,1,1,1,20121029,20121118
10369,1,1,1,1,1,1,0,20121210,20130208
10371,1,0,0,0,0,1,0,20121119,20121124
10374,0,0,0,0,0,0,1,20121118,20121123
10325,1,1,1,1,1,1,1,20121209,20130208
10326,0,0,0,0,1,1,1,20121101,20121208
10318,1,1,1,1,1,1,0,20121029,20121208
10321,0,0,0,0,1,1,0,20121102,20121208
10323,0,0,0,0,0,0,1,20121016,20130208
10324,0,0,0,0,1,1,0,20121029,20121208
10450,1,1,1,1,1,0,0,20121105,20121123
10451,1,1,1,1,1,0,0,20121029,20121102
10447,1,1,1,0,1,0,0,20121029,20121102
10449,1,1,1,1,1,0,0,20121105,20121123
10453,0,0,0,0,0,0,0,20121016,20130208
10452,1,1,1,0,1,0,0,20121029,20121102
10442,0,0,0,0,0,0,0,20121016,20130208
10443,1,0,0,0,0,0,0,20121105,20121203
10444,0,0,0,0,0,0,1,20121104,20121202
10441,1,1,1,0,1,0,0,20121029,20121102
10446,1,1,1,1,1,0,0,20121105,20121207
10578,1,1,0,1,1,0,0,20121112,20121116
10572,1,1,1,1,1,0,0,20130107,20130118
10573,1,1,1,1,1,0,0,20121112,20121116
10581,0,1,1,1,1,0,0,20130108,20130118
10580,1,0,0,0,0,0,0,20130107,20130114
10570,0,1,1,1,1,1,0,20130108,20130119
10579,0,1,1,0,1,1,0,20121113,20121117
10571,0,1,1,1,1,1,0,20121113,20121117
10566,1,1,1,0,0,0,0,20121029,20121109
10565,1,1,0,0,0,0,1,20121029,20121108
10567,1,1,1,1,0,0,0,20121108,20121108
10569,1,1,1,1,0,0,0,20121108,20121108
10551,0,0,0,0,0,1,1,20121031,20121208
10557,0,1,1,0,0,0,0,20121030,20121031
