stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8738664,"VILLENNES SUR SEINE",,48.93947627,1.99947908,,,1,
StopArea:DUA8727606,"CERNAY",,48.98502839,2.25720033,,,1,
StopArea:DUA8727607,"FRANCONVILLE LE PLESSIS BOUCHARD",,48.99353039,2.23456595,,,1,
StopArea:DUA8727608,"MONTIGNY BEAUCHAMP",,49.0075989,2.19784564,,,1,
StopArea:DUA8727609,"PIERRELAYE",,49.01932683,2.15372215,,,1,
StopArea:DUA8733798,"SAINT-OUEN L'AUMONE LIESSE",,49.03381937,2.12744649,,,1,
StopArea:DUA8727610,"SAINT-OUEN L'AUMONE",,49.04539255,2.1058133,,,1,
StopArea:DUA8727613,"PONTOISE",,49.04667082,2.09461298,,,1,
StopArea:DUA8738184,"ARGENTEUIL",,48.94664147,2.25727967,,,1,
StopArea:DUA8738179,"VAL D'ARGENTEUIL",,48.95067083,2.2309229,,,1,
StopArea:DUA8738186,"CORMEILLES EN PARISIS",,48.96861762,2.19431942,,,1,
StopArea:DUA8738187,"LA FRETTE MONTIGNY",,48.98019301,2.18159178,,,1,
StopArea:DUA8738188,"HERBLAY",,48.9909805,2.16124444,,,1,
StopArea:DUA8738141,"ERAGNY NEUVILLE",,49.01819497,2.09097095,,,1,
StopArea:DUA8768220,"BOIS LE ROI",,48.47514315,2.69161177,,,1,
StopArea:DUA8768221,"FONTAINEBLEAU AVON",,48.41598337,2.72633053,,,1,
StopArea:DUA8768225,"THOMERY",,48.39431049,2.76401423,,,1,
StopArea:DUA8768227,"MORET VENEUX LES SABLONS",,48.37813877,2.79819676,,,1,
StopArea:DUA8768410,"MONTIGNY SUR LOING",,48.33648404,2.73798806,,,1,
StopArea:DUA8768411,"BOURRON MARLOTTE GREZ",,48.33384525,2.6939912,,,1,
StopArea:DUA8768412,"NEMOURS SAINT-PIERRE",,48.2678032,2.68554123,,,1,
StopArea:DUA8768419,"BAGNEAUX SUR LOING",,48.23016034,2.70343631,,,1,
StopArea:DUA8768421,"SOUPPES CHATEAU LANDON",,48.18169478,2.73552486,,,1,
StopArea:DUA8768400,"MONTARGIS",,48.00289858,2.73972642,,,1,
StopArea:DUA8768424,"FERRIERES FONTENAY",,48.10086162,2.7737027,,,1,
StopArea:DUA8768423,"DORDIVES",,48.14722158,2.76271674,,,1,
StopArea:DUA8768229,"SAINT-MAMMES",,48.38236042,2.81594261,,,1,
StopArea:DUA8768230,"MONTEREAU",,48.37996302,2.94338662,,,1,
StopArea:DUA8739400,"CHARTRES",,48.44838038,1.48085778,,,1,
StopArea:DUA8739413,"MAINTENON",,48.58527433,1.59244259,,,1,
StopArea:DUA8739411,"EPERNON",,48.60507199,1.68163034,,,1,
StopArea:DUA8739331,"RAMBOUILLET",,48.64351914,1.83235195,,,1,
StopArea:DUA8739325,"LA VERRIERE",,48.75533291,1.94330351,,,1,
StopArea:DUA8738700,"EVREUX EMBRANCHEMENT",,49.01841502,1.14898912,,,1,
StopArea:DUA8738709,"BUEIL",,48.92508991,1.44377555,,,1,
StopArea:DUA8738162,"BREVAL",,48.94287255,1.54155578,,,1,
StopArea:DUA8739334,"GAZERAN",,48.62471499,1.77160577,,,1,
StopArea:DUA8739414,"SAINT-PIAT",,48.54217939,1.58997081,,,1,
StopArea:DUA8739415,"JOUY",,48.51044327,1.55776244,,,1,
StopArea:DUA8739417,"LA VILLETTE SAINT-PREST",,48.48240638,1.5223441,,,1,
StopArea:DUA8768310,"VILLENEUVE LA GUYARD",,48.34327398,3.06967316,,,1,
StopArea:DUA8768312,"CHAMPIGNY SUR YONNE",,48.32405777,3.13112449,,,1,
StopArea:DUA8768313,"PONT SUR YONNE",,48.28639774,3.20187936,,,1,
StopArea:DUA8768300,"SENS",,48.19842489,3.2673068,,,1,
StopArea:DUA8768320,"ETIGNY VERON",,48.13761827,3.28972937,,,1,
StopArea:DUA8768321,"VILLENEUVE SUR YONNE",,48.08519183,3.28624444,,,1,
StopArea:DUA8768322,"SAINT-JULIEN DU SAULT",,48.02669386,3.30255305,,,1,
StopArea:DUA8768324,"JOIGNY",,47.97343822,3.39285385,,,1,
StopArea:DUA8768326,"LAROCHE MIGENNES",,47.96112727,3.51432602,,,1,
StopArea:DUA8768139,"LE BRAS DE FER - Evry Génopole",,48.62368798,2.45088196,,,1,
StopArea:DUA8768138,"EVRY COURCOURONNES - Centre",,48.625577,2.42833257,,,1,
StopArea:DUA8768134,"ORANGIS BOIS DE L EPINE",,48.63661091,2.40756882,,,1,
StopArea:DUA8768137,"GRIGNY CENTRE",,48.65328911,2.39541097,,,1,
StopArea:DUA8754535,"SAINT-MARTIN D'ETAMPES",,48.42801624,2.14516323,,,1,
StopArea:DUA8727617,"SAINT-GRATIEN",,48.96362892,2.2850155,,,1,
StopArea:DUA8727114,"EPINAY SUR SEINE",,48.95468421,2.30219829,,,1,
StopArea:DUA8727120,"GENNEVILLIERS",,48.93314278,2.30710666,,,1,
StopArea:DUA8727214,"LES GRESILLONS",,48.92036171,2.31445973,,,1,
StopArea:DUA8727124,"SAINT-OUEN",,48.90537769,2.32284133,,,1,
StopArea:DUA8711127,"Porte de Clichy",,48.89450037,2.31331884,,,1,
StopArea:DUA8738102,"NEUILLY PORTE MAILLOT - Palais des Congrès",,48.87813445,2.28282879,,,1,
StopArea:DUA8739306,"JAVEL",,48.84618892,2.27674301,,,1,
StopArea:DUA8739332,"PONT DU GARIGLIANO - Hôpital Européen Georges Pompidou",,48.83849829,2.27102407,,,1,
StopArea:DUA8739330,"ISSY VAL DE SEINE",,48.82975045,2.26405151,,,1,
StopArea:DUA8739307,"ISSY",,48.81996802,2.25903391,,,1,
StopArea:DUA8739308,"MEUDON VAL FLEURY",,48.80790564,2.24103545,,,1,
StopArea:DUA8739317,"CHAVILLE VELIZY",,48.79972551,2.18366726,,,1,
StopArea:DUA8739321,"VIROFLAY RIVE GAUCHE",,48.80081083,2.17131349,,,1,
StopArea:DUA8739316,"PORCHEFONTAINE",,48.79680015,2.15393723,,,1,
StopArea:DUA8739315,"VERSAILLES RIVE GAUCHE CHATEAU DE VERSAILLES",,48.80018625,2.1283375,,,1,
StopArea:DUA8754702,"PARIS AUSTERLITZ",,48.84359571,2.36445673,,,1,
StopArea:DUA8732832,"Bibliothèque François Mitterrand",,48.8298517,2.37599021,,,1,
StopArea:DUA8754523,"SAVIGNY SUR ORGE",,48.67624039,2.35120547,,,1,
StopArea:DUA8754522,"EPINAY SUR ORGE",,48.66978845,2.33205456,,,1,
StopArea:DUA8754521,"SAINTE-GENEVIEVE DES BOIS",,48.65332659,2.31383396,,,1,
StopArea:DUA8754520,"SAINT-MICHEL SUR ORGE",,48.6358382,2.30667069,,,1,
StopArea:DUA8754519,"BRETIGNY",,48.6070423,2.30264447,,,1,
StopArea:DUA8754545,"LA NORVILLE SAINT-GERMAIN LES ARPAJON",,48.59145844,2.26692187,,,1,
StopArea:DUA8754546,"ARPAJON",,48.58612107,2.24174915,,,1,
StopArea:DUA8754547,"EGLY",,48.58228957,2.22205663,,,1,
StopArea:DUA8754548,"BREUILLET BRUYERES LE CHATEL",,48.57717192,2.19222987,,,1,
StopArea:DUA8754549,"BREUILLET VILLAGE",,48.5648154,2.17175405,,,1,
StopArea:DUA8754550,"SAINT-CHERON",,48.55142635,2.12510536,,,1,
StopArea:DUA8754551,"SERMAISE",,48.53559386,2.06959912,,,1,
StopArea:DUA8739305,"CHAMP DE MARS TOUR EIFFEL",,48.85740698,2.29386578,,,1,
StopArea:DUA8739304,"PONT DE L'ALMA",,48.86233342,2.30158715,,,1,
StopArea:DUA8739303,"INVALIDES",,48.86176805,2.31411631,,,1,
StopArea:DUA8754730,"MUSEE D'ORSAY",,48.8607618,2.32549552,,,1,
StopArea:DUA8778543,"SAINT-MICHEL NOTRE DAME",,48.85340741,2.34412473,,,1,
StopArea:DUA8754530,"IVRY SUR SEINE",,48.814085,2.39049754,,,1,
StopArea:DUA8754529,"VITRY SUR SEINE",,48.8010498,2.40255859,,,1,
StopArea:DUA8749210,"LES ARDOINES",,48.78271297,2.40830687,,,1,
StopArea:DUA8754528,"CHOISY LE ROI",,48.76506994,2.41012796,,,1,
StopArea:DUA8754622,"LES SAULES",,48.74633296,2.41685182,,,1,
StopArea:DUA8754620,"ORLY VILLE",,48.74243353,2.40177566,,,1,
StopArea:DUA8754619,"PONT DE RUNGIS - Aéroport d'Orly",,48.74734782,2.37114447,,,1,
StopArea:DUA8739300,"VERSAILLES CHANTIERS",,48.79648922,2.13615786,,,1,
StopArea:DUA8739322,"SAINT-CYR",,48.79894825,2.07252723,,,1,
StopArea:DUA8739384,"SAINT-QUENTIN EN YVELINES",,48.78749141,2.04469638,,,1,
StopArea:DUA8754527,"VILLENEUVE LE ROI",,48.7398401,2.42569694,,,1,
StopArea:DUA8754526,"ABLON",,48.72500047,2.41932969,,,1,
StopArea:DUA8754525,"ATHIS MONS",,48.71259321,2.40286365,,,1,
StopArea:DUA8754518,"MAROLLES EN HUREPOIX",,48.56519351,2.29018627,,,1,
StopArea:DUA8754517,"BOURAY",,48.53330841,2.29080487,,,1,
StopArea:DUA8754516,"LARDY",,48.52054009,2.25548671,,,1,
StopArea:DUA8754515,"CHAMARANDE",,48.51424338,2.21550237,,,1,
StopArea:DUA8754514,"ETRECHY",,48.49365351,2.19405331,,,1,
StopArea:DUA8775860,"CHATELET LES HALLES",,48.85784941,2.34818054,,,1,
